title;subtitle;difficulty;time_ascent;ascent;time_descent;descent;link;map;description
Überschreitung Weissenberge – Elm via Stuelegghorn;Fanenstock 2236 m;T4;3:45 h; 1140 m;2:30 h; 1440 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/fanenstock-594/mountain-hiking/ueberschreitung-weissenberge-elm-via-stuelegghorn-6755/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/fanenstock-594/berg-und-alpinwandern/ueberschreitung-weissenberge-elm-via-stuelegghorn-6755/;Von der Bergstation der Seilbahn in den Weissenbergen hält man auf dem Fahrsträsschen hinüber zur Wirtschaft zum Weissenberg und folgt der Schlittelbahn hinunter ins Chrauchtal zu P. 1104. Hier beginnt der Aufstieg zum Fahnenstock. Zuerst folgt man der Fahrstrasse zum Geisssteg, überquert diesen und hält via Hintertrosgi zum Hüttchen beim Argenboden. Hier folgt man dem Wanderweg bergwärts, der um P. 1414 herum zum Geissstafel auf 1467 m ansteigt. Nun hinauf an P. 1573 vorbei zum Stuelegghorn auf 1859 m.
De Bourg-St.-Pierre à la cabane de Valsorey.;Pointe de Penne 2781 m;T3;6–6:45 h; 1400 m;2:30–3 h; 1400 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pointe-de-penne-10822/mountain-hiking/de-bourg-st-pierre-a-la-cabane-de-valsorey-7156/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/pointe-de-penne-10822/berg-und-alpinwandern/de-bourg-st-pierre-a-la-cabane-de-valsorey-7156/;De Bourg-Saint-Pierre (1632 m), prendre la direction de Valsorey en passant dessous la route par un tunnel. Après la première boucle de la route asphaltée, s’engager à gauche sur le sentier pédestre, qui devient ensuite chemin carrossable. Du chalet d’Azerin (2046 m), gagner Challand d’en Haut (2221 m). Traverser le torrent et, par le raide sentier rejoindre la crête de la Penne que l’on suit jusqu’au sommet 2781 m. Le sentier continue par la rive droite du vallon de Valsorey, tantôt en descente, tantôt en montée, passant du monde végétal au monde minéral. Il contourne le sommet des Botseresses par le P. 2688 et fait la jonction avec le sentier normal dessous de la cabane de Valsorey, au P. 2935.
De Bourg-St-Pierre par les alpages de Boveire;Pointe de Toules 2726 m;T3;3:30–4 h; 1100 m;2:30–2:45 h; 1100 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pointe-de-toules-10868/mountain-hiking/de-bourg-st-pierre-par-les-alpages-de-boveire-7307/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/pointe-de-toules-10868/berg-und-alpinwandern/de-bourg-st-pierre-par-les-alpages-de-boveire-7307/;De Bourg-St-Pierre (1632 m), emprunter la route d’alpage de Notre-Dame de Lorette jusqu’à Boveire d’en Bas (2227 m), en passant au chalet Le Creux du Ma (1973 m). Des écuries, situées sur une ancienne moraine gazonnée, s’élever d’abord vers l’E, ensuite par le sentier balisé du versant S de la Pointe de Toules, qui passe à l’alpage de Boveire d’en Haut (2430 m) et qui aboutit sur la crête au P. 2642. D’ailleurs, cet alpage était bien fréquenté au siècle dernier, des vestiges conséquents l’attestent.
D'Arolla par le versant S et SW;La Roussette 3262 m;T4;4:30–5 h; 1255 m;2:30–3 h; 1255 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/la-roussette-10169/mountain-hiking/darolla-par-le-versant-s-et-sw-6900/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/la-roussette-10169/berg-und-alpinwandern/darolla-par-le-versant-s-et-sw-6900/;D’Arolla 2008 m, suivre la route jusqu’à la première épingle et emprunter le large chemin du Kurhaus. A travers la forêt d’arolles, le sentier zigzague pour sortir au chalet de Tsijiore Nouve 2165 m (buvette). Derrière le chalet, monter par une pente raide sur le sentier du Pas de Chèvres que l’on suit jusqu’au-delà de l’arrivée du téléski en passant à la Remointse (2398 m). Traverser le pont du torrent, passer au P. 2538 et prendre la direction N par le chemin de la piste de ski jusqu’à l’arrivée du téléski, à la Forcla 2874 m environ (On peut évidemment monter en VTT jusqu’à l’arrivée du téléski.). Poursuivre en direction NW par des pentes herbeuses en évitant autant que possible les pierriers. Viser le grand et large couloir, situé entre le Mont Guitsa et la Roussette.
De Bourg-St.-Pierre par la crête SE;Le Mourin 2765 m;T4;3:30–4 h; 1135 m;2–2:30 h; 1135 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/le-mourin-10831/mountain-hiking/de-bourg-st-pierre-par-la-crete-se-7302/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/le-mourin-10831/berg-und-alpinwandern/de-bourg-st-pierre-par-la-crete-se-7302/;Traverser en direction S le village de Bourg-Saint-Pierre (1632 m). Franchir le pont du torrent de Valsorey, partir tout de suite à droite sur le chemin qui descend à la rivière principale. Franchir le pont (1591 m) et s’engager à gauche sur chemin large et raide au début. Remonter toute la rive gauche du vallon jusqu’au lac des Toules (1810 m), en passant à Bretmor (1711 m). Continuer par le versant SE, sur une route raide qui conduit à l’alpage de l’Emenne (2245 m).
Von der Cabane Brunet über den Ostgrat;Mont Rogneux (VS) 3083 m;T3+;3:15 h; 1040 m;2 h; 1040 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/mont-rogneux-vs-1206/mountain-hiking/von-der-cabane-brunet-ueber-den-ostgrat-5148/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/mont-rogneux-1206/berg-und-alpinwandern/von-der-cabane-brunet-ueber-den-ostgrat-5148/;Von der Cabane Brunet auf der Kiesstrasse zum Stall «Écuries de Sery» und weiter, bis man sie bei P. 2336 verlässt. Bis P. 2397 weiss-rot-weiss markiert, danach weiss-blau-weiss und undeutliche Wegspur.
De Moay-Bruson par la crête NW.;Mont Rogneux (VS) 3083 m;T4;5–5:45 h; 1500 m;3:30–3:45 h; 1500 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/mont-rogneux-vs-1206/mountain-hiking/de-moay-bruson-par-la-crete-nw-7224/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/mont-rogneux-1206/berg-und-alpinwandern/de-moay-bruson-par-la-crete-nw-7224/;"Des Mayens de Bruson à Moay, s’engager sur le chemin du TP qui va en direction du col de Mille. Il monte d’abord en forêt, ensuite sur la piste de ski où il serpente directement vers son sommet. A la hauteur du P. 1954 (épingle de la route), il devient plus agréable et parvient au chalet d’alpage (2032 m). Continuer par la route-piste de ski jusqu’à la crête N du Six Blanc. Par cette crête, rallier le col de Chargerat (2327 m). De là, un sentier étroit bien marqué, conduit à Le Basset (2366 m) en traversant le versant SW de la Tête de la Payanne. L’accès au Mont Brulé se déroule encore sur le versant Entremont; le sentier y est aussi bien tracé et balisé. Se rendre ensuite au col de Mille (2471 m), où débute l’ascension du Mont Rogneux proprement dite."
De Mauvoisin par la cabane de Chanrion;Porton Nord 3502 m;T4;7:30–8:30 h; 1970 m;5–5:30 h; 1970 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/porton-nord-9019/mountain-hiking/de-mauvoisin-par-la-cabane-de-chanrion-7753/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/porton-nord-9019/berg-und-alpinwandern/von-mauvoisin-via-cabane-de-chanrion-7753/;"De l’hôtel de Mauvoisin (1841 m), suivre la route du barrage et s’engager dans la galerie principale; après 50 m obliquer à gauche pour ensuite traverser le couronnement du barrage. Suivre alors la route d’accès aux alpages de la rive droite. Au P. 2069, prendre à gauche le sentier qui permet d’atteindre directement la partie supérieure de la route. Poursuivre par cette route en direction S jusqu’au P. 2306, extrémité de la route. Par un joli parcours en balcon, suivre le long sentier qui mène au Lac de Tsofeiret (2572 m). Au-dessus du lac, passer au col de Tsofeiret (2628 m). De là, descendre à la cabane de Chanrion par un sentier de traverse délicat et exposé. Passer le pont (2521 m) sur la Dyure du Brenay et par le sentier, atteindre rapidement la cabane de Chanrion (2462 m), 3½h."
De Mauvoisin par la Fenêtre de Durand;Mont Avril 3346 m;T3;6–6:30 h; 1500 m;4–4:30 h; 1500 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/mont-avril-111/mountain-hiking/de-mauvoisin-par-la-fenetre-de-durand-8888/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/mont-avril-111/berg-und-alpinwandern/de-mauvoisin-par-la-fenetre-de-durand-8888/;"De l’hôtel de Mauvoisin, suivre la route du barrage et s’engager dans la galerie principale de la rive gauche; après 50 m obliquer à droite par la route en tunnels. Après 1,2 km, sortir sur l’alpage de la Lia, Poursuivre le long du lac jusqu’au pont du Lancet (2042 m). Peu après le pont, emprunter à droite le sentier de la cabane de Chanrion en coupant la route plusieurs fois. Au P. 2191, suivre à nouveau la route d’accès à la cabane de Chanrion sur 1 km, partir à droite sur le chemin et passer le pont (2181 m) sur la Dranse de Bagnes. Monter facilement au Grand Charmotane (2253 m), ensuite par le sentier pédestre bien marqué du vallon de Fenêtre, pour gagner la Fenêtre de Durand (2805 m environ)."
Vom Obersee über den Söligrat, Abstieg via Stäfeli;Bärensoolspitz / Bärensolspitz 1831 m;T4;3:45 h; 1000 m;1:45 h; 1000 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/baerensoolspitz-baerensolspitz-138/mountain-hiking/vom-obersee-ueber-den-soeligrat-abstieg-via-staefeli-6901/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/baerensoolspitz-baerensolspitz-138/berg-und-alpinwandern/vom-obersee-ueber-den-soeligrat-abstieg-via-staefeli-6901/;Vom Berggasthaus am Obersee hält man auf der Teerstrasse dem Seeufer entlang und erreicht nach einer haben Stunde die Stafelbrücke. Dort geht es rechtshaltend bergwärts zur Enzianalp und geradeaus dem Kiesfahrweg folgend zur Brunnmettlenalp (Parkplatz). Nun weiter dem Fahrsträsschen folgend zur Feriensiedlung Vorderahornen und zu P. 1390 in Hinter-Ahornen.
De Mex, en boucle;Tête de Chalin 2595 m;T5;4:30–5:30 h; 1500 m;3–3:30 h; 1500 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/tete-de-chalin-8392/mountain-hiking/de-mex-en-boucle-7153/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/tete-de-chalin-8392/berg-und-alpinwandern/de-mex-en-boucle-7153/;"Du village de Mex (1119 m), suivre le parcours du TDM en direction de Vérossaz, qui passe à Les Orgières (1200 m environ). Au pont (1043 m) sur le torrent de Mauvoisin, continuer par la route montante ; après 300 m, tourner à gauche et se diriger vers la clairière de Fahy (1224 m). Un sentier à mouton, dans le vaste cirque permet d’atteindre la crête principale de Valère au col P. 2019."
Überschreitung Emshorn - Brunnethorn - Borterhorn - Bella Tola;Bella Tola 3025 m;T5;6 h; 1900 m;1:30 h; 1050 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/bella-tola-1987/mountain-hiking/ueberschreitung-emshorn-brunnethorn-borterhorn-bella-tola-6266/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/bella-tola-1987/berg-und-alpinwandern/ueberschreitung-emshorn-brunnethorn-borterhorn-bella-tola-6266/;Von der Bergstation Oberems folgt man dem Wanderweg in Richtung Griebjini, welcher zumeist im Wald über Unnerstafil zur Oberstafil führt (2203 m). Oberhalb der Waldgrenze steigt man auf der rot-weiss markierten Wanderroute auf zum Gipfel des Emshorns mit tollem Blick ins Rhonetal.
Aus dem Färmeltal durch das Rügge Tälti (5. Couloir, von Osten);Türmlihore 2491 m;T6;2:30–3 h; 840 m;2–2:30 h; 840 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/tuermlihore-9827/mountain-hiking/aus-dem-faermeltal-durch-das-ruegge-taelti-5-couloir-von-osten-6846/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/tuermlihore-9827/berg-und-alpinwandern/aus-dem-faermeltal-durch-das-ruegge-taelti-5-couloir-von-osten-6846/;Vom Parkplatz im Färmeltal Am Vordere Berg (1650 m) folgt man in östlicher Richtung dem Alpsträsschen südlich des Färmelbachs nach Grod und überquert diesen dort.
Rundtour Ochse - Bürgle über den Gemsgrat;Gemsflue 2154 m;T5+;4 h; 1000 m;2 h; 1000 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gemsflue-8582/mountain-hiking/rundtour-ochse-buergle-ueber-den-gemsgrat-7048/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gemsflue-8582/berg-und-alpinwandern/rundtour-ochse-buergle-ueber-den-gemsgrat-7048/;Von der Postautohaltestelle Schwefelbergbad folgt man dem markierten Bergweg Richtung Ochsen. Beim Louiboden (1550 m) bleibt man auf dem Weg zur linken, der sich nun steil in südlicher Richtung über den Louigrat zum Hürlisboden, einer Schulter im Westgrat des Ochsen, hinaufzieht. Weiter in südwestlicher Richtung auf dem nun wieder flacheren Wanderweg bis zur Alpiglegalm (2016 m) zwischen Ochsen und Hanen, wo man schliesslich entlang des grasigen Südrückens Richtung Ochsen aufsteigt, bis der Aufstiegsweg auf ca. 2130 m eine Kehre hart an der Kante des Südgrats macht. Hier beginnt die Traversierung des auf der LK benannten Gemsgrats.
Von Norden (Gätterlipass) (Normal route);Rigi Hochflue 1698 m;T4;1:30 h; 510 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rigi-hochflue-1496/mountain-hiking/von-norden-gaetterlipass-7154/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/rigi-hochflue-1496/berg-und-alpinwandern/von-norden-gaetterlipass-7154/;Vom Gätterlipass führt ein markierter Wanderweg südwärts durch Wald hinauf. Kurz darauf, am Rand einer Wiese, zweigt links die Route zur Hochflue ab. Sie führt durch anfänglich liebliches Gelände mit einigen Lichtungen. Ab 1400 Meter wird das Terrain waldiger und steiler – zwar nicht schwierig, aber bei feuchtem Boden (was hier oft der Fall ist) glitschig und knifflig. Man gelangt so zum Fuss der Leiter, vor der schon auf dem Wegweiser oberhalb des Gätterlipass gewarnt wurde.
Rigi Hochflue (Normal route);Rigi Hochflue 1698 m;T5-;2 h; 610 m;2:15 h; 1310 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rigi-hochflue-1496/mountain-hiking/rigi-hochflue-902/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/rigi-hochflue-1496/berg-und-alpinwandern/urmiberg-timpel-rigi-hoflue-gersau-902/;From Timpel, the summit station of the Urmiberg cable car (www.urmiberg.ch, Tel. 041 820 14 05) hike up to the ridge and continue westward on a small road to Egg (1287 m).
Von Goldau via Buosigerbann und Gätterlipass;Rigi Scheidegg 1658 m;T3;4 h; 1180 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rigi-scheidegg-8726/mountain-hiking/von-goldau-via-buosigerbann-und-gaetterlipass-7155/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/rigi-scheidegg-8726/berg-und-alpinwandern/von-goldau-via-buosigerbann-und-gaetterlipass-7155/;Von der Bushaltestelle direkt in die Chräbelstrasse einbiegen und an einigen Gewerbebauten vorbei zu einem Wegweiser. Dort nach links, durch ein Waldstück zu einem Wohnhaus und auf dem Strässchen zum Fallenboden. Hier weglos über die Wiese schräg ansteigen und um einen Rücken zum Hof Mittler Truben. Auf der Strasse weiter zur Kurve bei P. 686.
Rundwanderung ab Hochrugg (Sitzsteinweg);Alp Tschingla 1529 m;T4;1:30 h; 600 m;1:45 h; 600 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/alp-tschingla-11949/mountain-hiking/rundwanderung-ab-hochrugg-sitzsteinweg-7129/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/alp-tschingla-11949/berg-und-alpinwandern/rundwanderung-ab-hochrugg-sitzsteinweg-7129/;"Vom grossen Doppelgebäude auf Schrina-Hochrugg (1290 m) auf einem Strässchen nordostwärts hinauf. Weiter auf einem guten, markierten Weg Richtung Paxmal. Das aussergewöhnliche, tempelartige Friedensdenkmal rechts lassend, wandert man auf dem Wiesenpfad ohne nennenswerten Höhengewinn weiter. Nach einer Weile erreicht man mitten im Wald den Fuss einer Felswand und den Einstieg zum sogenannten ""Sitzsteinweg"". Zahlreiche weiss-blaue Markierungen zeigen nun unmissverständlich nach oben. Der auf den ersten Blick etwas grimmige Aufschwung ist mit vielen, grosszügig dimensionierten Griffen und Fixseilen entschärft. Dann quert die Route leicht ausgesetzt, aber gut gesichert nach rechts. Durch eine Rinne kommt man zu einem weiteren, weniger steilen Aufschwung mit blau markierten Griffen und Tritten und zu einer Platte mit künstlichen Holzstufen. Schwierigkeit und Ausgesetztheit nehmen nun ab. Bei P. 1468 erreicht man eine geneigte, mit Felsen durchsetzte Waldrippe. Ein weiteres Fixseil führt zu P. 1523, von wo man direkt zum oberen Weg auf 1628 m aufsteigen könnte. Lohnender ist jedoch, auf dem Hauptweg via Sitzstein in leichtem Auf und Ab nach rechts zu traversieren, einige Mulden zu queren und zur Alp Tschingla (1529 m) zu gelangen."
West-Ost-Überschreitung;Piz Calandari 2555 m;T5-;0:30–0:45 h; 190 m;0:30 h; 190 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/piz-calandari-272/mountain-hiking/west-ost-ueberschreitung-7112/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/piz-calandari-272/berg-und-alpinwandern/west-ost-ueberschreitung-7112/;Von der Cufercalhütte folgt man dem rot-weiss markierten Bergwanderweg Richtung Lai da Calandari nordwärts. Man gelangt so zu einem Sattel auf dem Hauptgrat (ca. 2510 m) im Westen des Piz Calandari.
Von Süden und über den SE-Grat (Normal route);Zallershore / Zallershorn 2743 m;T5;2:45–3:15 h; 1080 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/zallershore-zallershorn-2252/mountain-hiking/von-sueden-und-ueber-den-se-grat-7122/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/zallershore-zallershorn-2252/berg-und-alpinwandern/von-sueden-und-ueber-den-se-grat-7122/;"Von der Bergstation Oeschinen (1683 m) folgt man der Fahrstrasse bis zum Skilift ""Bire"". Hier gelangt man über die Piste nach Nordosten zum Bachgraben, quert diesen und gelangt auf der anderen Seite einer recht gut sichtbaren Wegspur folgend hinauf in die Grashänge von Groppen. Man quert einen weiteren Bachlauf und erreicht steiler über Gras und Geröll das dunkle Felsband (einzelne Bh). Man quert dieses ausgesetzt (Drahtseil). Danach über leichte Felsen (alte Drahtkabel) hinauf zu einer Schlucht. Durch diese hinauf und danach nach Westen einem Grasband folgend in flacheres Gelände. Nun führt die Wegspur wieder zurück in nordöstlicher Richtung hinauf zum Oeschischafberg (P. 2293). Man folgt nach Westen dem gut sichtbaren Weg Richtung Bire bis nach dem Bachgraben unter einem markanten Felsblock mit einem roten ""Z"" für Zallershore."
From Haldenstein via Funtanolja (Normal route);Calandahütte SAC 2073 m;T2;4 h; 1530 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/calandahuette-sac-2147000054/mountain-hiking/from-haldenstein-via-funtanolja-8/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/calandahuette-sac-2147000054/berg-und-alpinwandern/von-haldenstein-ueber-funtanolja-8/;A mountain road leads through the forest from Haldenstein (571 m) in a few sweeping hairpin bends via Arella (988 m) and Funtanolja (1494 m) up to Haldensteiner Alp and slightly further to the Calandahütte on its little hillock (P. 2074).
Von St. Margretenberg über Marola;Calandahütte SAC 2073 m;T2;5:30 h; 1190 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/calandahuette-sac-2147000054/mountain-hiking/von-st-margretenberg-ueber-marola-7/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/calandahuette-sac-2147000054/berg-und-alpinwandern/von-st-margretenberg-ueber-marola-7/;Von Furggels (1198 m) geht man auf der Fahrstrasse zum Fürggli (1315 m), wo die Alpstrasse nach Marola (1533 m, 1 ½ Std.) abzweigt. Eine Kehre dieser Strasse kürzt man auf einem Bergweg ab. Auf einem Bergweg erreicht man bald die Zufahrtsstrasse nach Salaz (1779 m). Über die Planggen der Stelli (2051 m) ansteigend und durch die Flanke des Berger Calandas wieder abwärts erreicht man die Mastrilser Alp (1754 m) und bald darauf den Parkplatz bei der Vazer Alp (1758 m).
Von Untervaz über die Vazer Alp;Calandahütte SAC 2073 m;T2;1:30 h; 370 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/calandahuette-sac-2147000054/mountain-hiking/von-untervaz-ueber-die-vazer-alp-6/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/calandahuette-sac-2147000054/berg-und-alpinwandern/von-untervaz-ueber-die-vazer-alp-6/;Wird meist mit dem Auto zurückgelegt, denn von Untervaz (564 m) führt ein für Autos gebührenpflichtiges Strässchen zur Vazer Alp (1758 m).
Von der Ringelspitzhütte SAC über den Kunkelspass;Calandahütte SAC 2073 m;T2;5:30–6 h; 850 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/calandahuette-sac-2147000054/mountain-hiking/von-der-ringelspitzhuette-sac-ueber-den-kunkelspass-5381/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/calandahuette-sac-2147000054/berg-und-alpinwandern/von-der-ringelspitzhuette-sac-ueber-den-kunkelspass-5381/;Von der Ringelspitzhütte via Grossalp südostwärts auf dem Hüttenweg hinunter zum Kunkelspass (1357 m). Nun folgt ein steiler Aufstieg durch anfangs bewaldetes Gelände zum Taminser Alpli (2011 m). Nun führt die Route in einem steten Auf und Ab unter dem Taminser und dem Felsberger Calanda hindurch zur Calandahütte SAC.
Von Felsberg über das Felsberger Älpli;Calandahütte SAC 2073 m;T3;4:30 h; 1600 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/calandahuette-sac-2147000054/mountain-hiking/von-felsberg-ueber-das-felsberger-aelpli-9/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/calandahuette-sac-2147000054/berg-und-alpinwandern/von-felsberg-ueber-das-felsberger-aelpli-9/;Von den Felsberger Neugütern (564 m) erreicht man auf dem als Bergweg markierten Alpsträsschen die Älplihütte (2021 m).
Von Vättis durch das Schaftäli;Calandahütte SAC 2073 m;T4;4:30 h; 1470 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/calandahuette-sac-2147000054/mountain-hiking/von-vaettis-durch-das-schaftaeli-11/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/calandahuette-sac-2147000054/berg-und-alpinwandern/von-vaettis-durch-das-schaftaeli-11/;Von Vättis (943 m) führt ein steiler Waldweg in der Nähe der Fallrüfi zum Gonscherolaboden. Wegspuren steigen ostwärts über Geröll und Schrofen und durch lichten Wald zu P. 1747. Hier queren sie durch Legföhren ins Gonscherolatobel und steigen durch dieses nordöstlich vom P. 2061 m auf. Man findet den Pfad wieder nördlich des tiefen Felseinschnitts, wo sie zu P. 2175, in das Haldensteiner Schaftäli, leiten. Eine enge Felsspalte erlaubt den Durchstieg in den zweiten Teil des Haldensteiner Schaftäli, von wo man über die grosse Schutthalde gegen Osten zum Sattel 2409 m hält. Vom Sattel P. 2409 m steigt man südlich über einen steilen Schutthang ab und überwindet so die imposanten Plattenschüssen.
Von Haldenstein;Calandahütte SAC 2073 m;PD-;4 h; 1500 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/calandahuette-sac-2147000054/ski-touring/von-haldenstein-3298/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/calandahuette-sac-2147000054/skitouren/von-haldenstein-3298/;Von Haldenstein (571 m) auf dem Wanderweg nach Osten, dann nach Süden vorbei an der Ruine Haldenstein. Weiter nach Süden auf dem markierten alten Alpweg, der nach Arella (988 m). In der gleichen Richtung weiter, später nach rechts auf der Strasse zu P. 1138, wo man wieder nach links abzweigt zum Nesselboden (1392 m). Hier Richtung Norden nach Funtanolja und weiter über P. 1605, bis man bei P. 1748 wieder auf die Strasse trifft. Nach 300 m wieder nach links auf dem alten Alpweg bis unterhalb des Altsäss der Haldensteiner Alp (1972 m). In westlicher Richtung weiter, zuletzt von Süden zur Hütte.
De Siviez-Nendaz;La Rosablanche 3335 m;T5;5–6 h; 1600 m;3:30–4 h; 1600 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/la-rosablanche-1526/mountain-hiking/de-siviez-nendaz-7087/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/la-rosablanche-1526/berg-und-alpinwandern/von-siviez-nendaz-7087/;"De Siviez (1734 m), emprunter le chemin de Tortin en passant à Pra Mounet. Se diriger alors vers le barrage de Cleuson, par un sentier dès le P. 1972. Arrivé au pied du mur du barrage, gravir les escaliers à droite menant au couronnement. Continuer par le sentier du lac rive gauche ou la route rive droite. Tous deux se rejoignent au P. 2247. Suivre la route d’accès au refuge Saint-Laurent en traversant le pont de pierre (2316 m) ; elle monte en lacets jusqu’à la Cabane St.-Laurent. En direction S, prendre le sentier bien balisé des cols de Louvie et Prafleuri et passer le lac du Grand Désert par la rive droite. Dans un paysage très minéral, il se poursuit le long d’une ancienne moraine et côtoie le P. 2786. Un peu plus loin au P. 2784, poursuivre au S jusqu’à l’intersection (2827 m). Obliquer à gauche sur Prafleuri sur quelques centaines de mètres ; laisser à main gauche le sentier pour se diriger vers le lac glaciaire (2891 m) que l’on atteint par des traces."
De Siviez (Nendaz), par la crête NW.;Bec de la Montau 2922 m;T4+;4:15–4:45 h; 1200 m;2:30–2:45 h; 1200 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/bec-de-la-montau-9014/mountain-hiking/de-siviez-nendaz-par-la-crete-nw-7130/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/bec-de-la-montau-9014/berg-und-alpinwandern/de-siviez-nendaz-par-la-crete-nw-7130/;De Siviez (1734 m), prendre le sentier pédestre de l’alpage de Novelly. A Les Chottes de Novelly (1862 m), continuer par la route jusqu’à La Tsa (2241 m), situé sur le replat de Combatzeline.
Überschreitung Cabane de Fenestral - Grand Vire - Cabane de la Tourche;Grande Dent de Morcles 2968 m;T5;1:45–2 h; 570 m;2–2:30 h; 830 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/grande-dent-de-morcles-1212/mountain-hiking/ueberschreitung-cabane-de-fenestral-grand-vire-cabane-de-la-tourche-6814/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/grande-dent-de-morcles-1212/berg-und-alpinwandern/ueberschreitung-cabane-de-fenestral-grand-vire-cabane-de-la-tourche-6814/;Von der Cabane du Fenestral folgt man dem hinter der Hütte aufsteigenden blau-weiss-blau markierten Wanderweg. Immer aussichtsreicher geht es den vielen Farbmarkierungen durch die felsige Landschaft des Grand Cor, bis beim Südgrat der Grande Dent de Morcles (ca. 2820 m) eine Felsstufe zu überwinden ist. Am Fusse der Felsstufe direkt beim Grat zweigt linkerhand ein deutlicher Pfad ab, welcher in die Westflanke der Grande Dent de Morcles zieht – dies ist die leichtere Variante in die Grand Vire. Nimmt man diesen Weg und lässt den Gipfel der Grande Dent de Morcles aus, sind die Schwierigkeiten nur bei T4. Wir wenden uns der Felsstufe zu, die mit einem gelben Smiley markiert ist und die erste Kraxelstelle (II) im Aufstieg bildet. Elegant führt der Weg bis zur zweiten Kraxelstelle, welche die Überwindung einer drei Meter hohen Felsstufe erfordert (II) – da diese Stelle in keinster Weise ausgesetzt ist, geht das erstaunlich einfach vonstatten. Kurz darauf ist der Gipfel auch schon erreicht.
